name,synonyms
Photography,
Filmmaking,Video Production
,
Music,
Music Production,
Singing,
,
Business,Business and Commerce
Entrepreneurship,
Marketing,Advertising
Sales,
Economics,
,
Computer Science,
Artificial Intelligence,"Machine Learning, ML, AI"
Machine Vision,Artificial Intelligence
Networking,
Back-End Development,Full-Stack Development
Web Development,"Full-Stack Development, Front-End Development"
Data Science,Artificial Intelligence
App Development,"Web Development, iOS Development, Android Development"
Frameworks,"Open Source Development, Back-End Development"
Systems,"Computer Architecture, Operating Systems, Back-End Development"
,
Design,UI/UX Design
Graphic Design,
,
Engineering,
Chemistry,
,
Writing,English
,
Fitness,"Sports, Athletics"
,
Politics,Public Policy
